ID,Artist,Song
786,�ge Alexandersen,Rosalita
2691,Alice Tegn�r,Ekorrn satt i granen
698,Amy Diamond,What's in it for me
822,Amy Diamond,Shooting star
2496,Anders Ekborg,The saviour
920,Andra Generationen,Kebabpizza slivovitza
988,Andreas Lundstedt,Driver dagg faller regn
962,Andr�s Esteche,Ol� ol�
1064,Anita Lindblom,S�nt �r livet
995,Ann-Christine B�rnsten,Ska vi plocka k�rsb�r i min tr�dg�rd
2500,Anna Bergendahl,This is my life
965,Anne-Lie Ryd�,S�g att du har �ngrat dig
1040,Anne-Lie Ryd�,En s�n karl
5481,Anne-Marie,"Ciao, Adios"
3116,Anouk,Sacrifice
1337,Aqua,Barbie girl
990,Arja Saijonmaa,H�gt �ver havet
5590,Avicii,The night
5335,Avicii Ft. Robbie Williams,The Days
135,Avril Lavigne,Sk8ter boi
650,Avril Lavigne,I'm with you
1630,Avril Lavigne,Nobody's home
4158,Ayumi Hamasaki,Walking proud
587,Babyface,Exhale
3681,Babyface,Everytime I close my eyes
488,Bachelors,I believe
1706,Bachman Turner Overdrive,Takin' care of business
4356,Bachman Turner Overdrive,Roll on down the highway
4357,Bachman Turner Overdrive,Let it ride
459,Backstreet Boys,Shape of my heart
508,Backstreet Boys,The call
597,Backstreet Boys,I'll never break your heart
2976,Backstreet Boys,Anywhere for you
3045,Backstreet Boys,I just want you to know
3083,Backstreet Boys,More than that
3122,Backstreet Boys,Show me the meaning of being lonely
3136,Backstreet Boys,That's the way I like it
3149,Backstreet Boys,We've got it goin' on
4359,Backstreet Boys,I still
4360,Backstreet Boys,Incomplete
4364,Backstreet Boys,Let's have a party
4365,Backstreet Boys,Like a child
4366,Backstreet Boys,That's what she said
4368,Backstreet Boys,The perfect fan
4369,Backstreet Boys,It's true
3462,Bad Company,Shooting star
1305,Bananarama,Venus
3003,Bananarama,Cruel summer
3370,Band Aid,Do they know it's christmas
4370,Band Of Horses,Is there a ghost
1161,Bangles,Manic monday
1607,Bangles,Eternal flame
1992,Barbara Lewis,Baby I'm yours
296,Barbra Streisand,You don't bring me flowers
432,Barbra Streisand,Woman in love
569,Barbra Streisand,Some good things never last
570,Barbra Streisand,The way we were
5070,Barbra Streisand And Celine Dion,Tell Him
2102,Barry Manilow,Can't smile without you
4372,Barry Manilow,It's a miracle
4375,Barry Manilow,One voice
4377,Barry Manilow,Memory
4378,Barry Manilow,Somewhere in the night
4380,Barry Manilow,Looks like we made it
4381,Barry Manilow,This one's for you
3541,Barry White,Can't get enough of your love babe
3542,Barry White,Come on
3543,Barry White,I only want to be with you
3546,Barry White,Just the way you are
3547,Barry White,Let the music play
3548,Barry White,Never never gonna give ya up
3549,Barry White,Practice what you preach
3550,Barry White,Staying power
3553,Barry White,"You're the first, the last, my everything"
3554,Barry White & Tina Turner,In your wildest dreams
3014,Basshunter,Every morning
1720,Bay City Rollers,Bump
2350,BB King,The thrill is gone
2591,BC 52's,Flintstones
1745,Beach Boys,Good vibrations
2413,Beach Boys,Kokomo
386,Beatles,Hey Jude
388,Beatles,Back in the USSR
390,Beatles,Come together
391,Beatles,Revolution
392,Beatles,Nowhere man
393,Beatles,Can't buy me love
396,Beatles,We can work it out
397,Beatles,She loves you
398,Beatles,Yellow submarine
399,Beatles,Sgt Peppers lonely hearts club band
400,Beatles,Long and winding road
401,Beatles,Ticket to ride
403,Beatles,Here there and everywhere
404,Beatles,Penny Lane
405,Beatles,If I fell
406,Beatles,Love me do
408,Beatles,With a little help from my friends
409,Beatles,I'll follow the sun
410,Beatles,I want to hold your hand
411,Beatles,Don't let me down
2258,Beatles,I saw her standing there
2331,Beatles,Lucy in the sky with diamonds
5075,Beatles,Here Comes The Sun
5076,Beatles,Blackbird
1451,Beautiful South,Rotterdam
2453,Beautiful South,Little time
2454,Beautiful South,Everybody's talkin'
492,Bee Gees,First of May
623,Bee Gees,Massachusetts
624,Bee Gees,To love somebody
625,Bee Gees,I started a joke
1439,Bee Gees,Night fever
1385,Belinda Carlisle,Heaven is a place on earth
1224,Bellamy Brothers,Let your love flow
1258,Bellamy Brothers,Redneck girl
2067,Bellamy Brothers,If I said you had a beautiful body
2540,Belle & Sebastian,Funny little frog
3825,Beloved,Sweet harmony
765,Benny Borg,Balladen om Morgan Kane
1470,Berlin,Take my breath away
332,Bette Midler,In my life
1477,Bette Midler,The rose
2103,Bette Midler,Glory of love
3441,Bette Midler,Every road leads back to you
3442,Bette Midler,Night and day
3443,Bette Midler,That's the glory of love
424,Beverly Craven,Promise me
740,Beyonce,If I were a boy
827,Beyonce,Irreplaceable
828,Beyonce,"Me, myself and I"
1355,Beyonce,Crazy in love
2582,Beyonce,All the single ladies
3207,Beyonce,Listen
5689,Beyonce,Ring the alarm
5849,Beyonc�,Bow down
5850,Beyonc�,Cuff it
5851,Beyonc�,Irreplaceable
237,Beyonce & Sean Paul,Baby boy
3900,Beyonce & Shakira,Beautiful liar
3790,Bill Haley & his Comets,See you later alligator
5852,Bill Joel,Piano man
4103,Bill Withers,Just the two of us
5336,Bill Withers,Ain't no sunshine
5662,Billie Eilish,Ocean eyes
5763,Billie Eilish,Your power
5818,Billie Eillish,Lost cause
1205,Billy Fury,Last night was made for love
1734,Billy Fury,Candy kisses
1164,Billy Idol,Mony mony
1493,Billy Idol,White wedding
4387,Billy Idol,LA woman
4388,Billy Idol,Scream
4389,Billy Idol,Flesh for fantasy
4390,Billy Idol,Shock to the system
4391,Billy Idol,Cradle of love
4393,Billy Idol,Sweet sixteen
345,Billy Joel,The river of dreams
2096,Billy Joel,Just the way you are
3248,Billy Joel,We didn't start the fire
281,Billy Ocean,"Get outta my dream, get into my car"
301,Billy Ocean,Suddenly
313,Billy Ocean,Everything's so different without you
1771,Billy Paul,Me and Mrs Jones
355,Billy Ray Cyrus,Achy breaky heart
2283,Billy Vera & The Beaters,At this moment
3371,Bing Crosby,White christmas
3970,Biz Markie,Just a friend
1014,Bj�rn Afzelius,En kungens man
1527,Bj�rn Afzelius,Tusen bitar
942,Bj�rn Kjellman,�lskar du livet
634,Bj�rn Skifs,H�rligt h�rligt
971,Bj�rn Skifs,Det blir alltid v�rre fram�t natten
1073,Bj�rn Skifs,Michelangelo
1085,Bj�rn Skifs,H�ll mitt hj�rta
2196,Bj�rn Skifs/Blue Swede,Hooked on a feeling
253,Black Eyed Peas,Where is the love
4080,Black Eyed Peas,Gone going
3269,Black Jack,Corrine Corrina
1182,Black Sabbath,Iron man black
1710,Black Sabbath,War pigs
2997,Black Sabbath,Changes
3139,Black Sabbath,The wizard
3153,Black Sabbath,Wicked world
3709,Blake Shelton,Austin
5764,Blink 182,Adams song
5766,Blink 182,Feeling this
5768,Blink 182,Whats my age again
42,Blondie,Heart of glass
59,Blondie,Dreamin'
2323,Blood sweat and tears,And when I die
2329,Blood sweat and tears,Hi-de-ho
2981,Bloodhound Gang,Bad touch
4394,Bloodhound Gang,Ballad of Chasey Lain
4395,Bloodhound Gang,Fire water burn
98,Blue,Best in me
1631,Blue,Breathe easy
3996,Blue,All rise
177,Blue & Elton John,Sorry seems to be the hardest word
688,Blue Lagoon,Break my stride
706,Blue Lagoon,Now that we found love
3944,Blue October,Hate me
4396,Blue October,Calling you
3899,Blue Oyster Cult,Don't fear the reaper
4091,Blue Oyster Cult,Burnin' for you
1298,Bluebells,Young at heart
1431,Blues Brothers,Minnie the moocher
20,Blur,Girls and boys
210,Blur,Out of time
2983,Blur,Beetlebum
2998,Blur,Charmless man
2999,Blur,Coffee and tv
3084,Blur,Music is my radar
3140,Blur,There's no other way
3961,Bob & Bruno Mars,Nothing on you
831,Bob Dylan,Forever young
832,Bob Dylan,The times they are a changing
833,Bob Dylan,Knocking on heavens door
2961,Bob Dylan,A hard rain's a gonna fall
2966,Bob Dylan,All along the watchtower
3050,Bob Dylan,I'll be your baby tonight
3057,Bob Dylan,It's all over now baby blue
3060,Bob Dylan,Just like a woman
3063,Bob Dylan,Lay lady lay
3066,Bob Dylan,Like a rolling stone
3076,Bob Dylan,Maggie's farm
3134,Bob Dylan,Tangled up in blue
3404,Bob Dylan,Mr Tambourine man
2020,Bob Marley,One love
2021,Bob Marley,I shot the sheriff
2025,Bob Marley,Jammin'
2033,Bob Marley,Natural mystic
2034,Bob Marley,Iron lion zion
2076,Bob Marley,Lively up yourself
2259,Bob Seger,Old time rock and roll
3475,Bob Seger,Beautiful loser
3477,Bob Seger,Sunspot baby
3480,Bob Seger,Fire down below
3570,Bob Seger & The Silver Bullet Band,Hollywood nights
3905,Bob Sinclair,Sound of freedom
3917,Bob Sinclair,Together
2336,Bobby Boris Picket,Monster mash
4005,Bobby McFerrin,"Don't worry, be happy"
1793,Bobby Vee,Venus in blue
770,Bobbysocks,La det swinge
707,Bodies Without Organs,Open door
825,Bodies Without Organs,Sunshine in the rain
27,Bon Jovi,This ain't a love song
53,Bon Jovi,Something for the pain
1413,Bon Jovi,It's my life
1491,Bon Jovi,Wanted dead or alive
1938,Bon Jovi,You give love a bad name
1939,Bon Jovi,Living in the sun
1942,Bon Jovi,Lay your hands on me
1944,Bon Jovi,Born to be my baby
1945,Bon Jovi,In and out of love
1946,Bon Jovi,Please come home for christmas
1947,Bon Jovi,Bad medicine
1948,Bon Jovi,Livin' on a prayer
